Customer_ID,Age,Gender,Annual_Income,Total_Purchases,Average_Order_Value,Website_Visits,Customer_Satisfaction,Previous_Returns,Churn
1,56,Male,49241,2,243.97,21,1.8,9,1
2,46,Female,116214,23,412.03,26,1.3,9,1
3,32,Female,64569,19,52.34,14,4.5,0,0
4,60,Female,31745,31,205.95,13,2.7,1,0
5,25,Male,46029,5,428.88,27,3.0,4,0
6,38,Male,33025,19,213.87,4,4.7,2,1
7,56,Male,121660,34,57.26,7,4.1,1,1
8,36,Male,143395,10,280.42,22,1.5,0,1
9,40,Male,34288,25,433.64,10,3.3,9,1
10,28,Male,109186,2,303.34,7,2.8,2,1
11,28,Male,26540,11,128.61,21,4.2,0,0
12,41,Male,117768,31,204.44,15,3.9,0,0
13,53,Female,101958,15,236.06,15,3.8,0,0
14,57,Female,88878,9,298.05,4,2.4,7,1
15,41,Male,61846,23,384.49,23,4.2,2,0
16,20,Male,121148,19,67.46,23,1.2,0,1
17,39,Female,95932,9,447.03,6,1.6,6,1
18,19,Male,37482,35,25.91,24,2.3,9,1
19,41,Male,43411,21,197.63,20,1.3,2,1
20,61,Male,70975,9,33.16,26,1.9,7,1
21,47,Female,80545,28,208.63,5,4.3,3,1
22,55,Female,132302,46,272.39,20,4.8,3,0
23,19,Female,98797,7,265.61,12,2.2,4,1
24,38,Female,72307,16,99.5,1,2.1,5,1
25,50,Female,23093,16,329.96,28,2.1,6,1
26,29,Male,97258,33,41.49,8,2.1,3,1
27,39,Female,42042,4,385.72,1,1.1,7,1
28,61,Male,72930,4,474.39,5,4.7,5,1
29,42,Male,137584,39,183.09,22,1.9,0,1
30,44,Female,64413,40,268.27,6,2.7,0,1
31,59,Female,133387,17,201.88,29,1.0,8,1
32,45,Male,113623,37,23.22,21,4.4,9,1
33,33,Male,117883,39,205.22,3,3.9,5,1
34,32,Male,53756,29,400.03,15,4.8,9,1
35,64,Female,73268,36,306.07,5,4.1,7,1
36,61,Female,59214,38,68.6,28,2.3,6,1
37,20,Female,101871,39,426.63,24,2.0,5,1
38,54,Female,147844,37,274.92,14,3.8,3,0
39,24,Female,48602,35,424.03,18,2.5,6,0
40,38,Male,73331,7,298.51,16,3.3,8,1
41,26,Female,68901,27,288.65,6,1.0,9,1
42,56,Male,119986,28,70.52,25,1.2,9,1
43,35,Male,83416,22,100.33,24,3.1,6,0
44,21,Male,52196,14,486.57,14,3.3,0,0
45,42,Female,148386,7,129.67,27,4.0,9,1
46,31,Female,25626,37,489.18,24,1.5,8,1
47,26,Female,27424,22,275.32,8,3.1,3,0
48,43,Male,32857,5,85.18,29,1.8,2,1
49,19,Male,130459,2,67.67,7,1.4,3,1
50,37,Male,135621,27,120.25,8,2.6,3,0
51,45,Male,39982,21,464.31,13,1.7,9,1
52,64,Male,96961,38,218.79,6,1.9,1,1
53,24,Male,21980,15,209.81,18,2.3,0,1
54,61,Female,68290,21,170.34,2,2.0,9,1
55,25,Female,46431,10,90.59,8,1.4,0,1
56,64,Female,104976,23,254.17,11,1.4,7,1
57,52,Female,127288,39,82.42,1,1.8,1,1
58,31,Male,102711,5,421.03,22,1.2,9,1
59,34,Male,134187,1,197.79,29,3.5,4,0
60,53,Female,46385,13,199.91,6,2.1,3,1
61,57,Male,58158,21,247.52,16,2.1,7,1
62,21,Female,43019,26,233.18,27,2.3,1,1
63,19,Female,38639,45,497.53,20,3.7,9,1
64,23,Female,105530,21,281.78,12,4.5,8,1
65,59,Male,119911,18,62.34,11,4.0,6,0
66,21,Female,41563,37,311.3,29,3.9,6,0
67,46,Female,59341,45,92.76,27,2.9,0,0
68,35,Female,135672,32,34.85,29,3.8,1,0
69,43,Male,25776,36,485.96,10,3.2,3,0
70,61,Male,56444,17,391.3,3,1.9,3,1
71,51,Female,88916,35,490.45,13,1.8,2,1
72,27,Male,28711,49,249.38,27,2.2,6,1
73,53,Male,94318,11,275.48,3,4.6,7,1
74,31,Male,102970,21,100.8,15,3.2,1,0
75,48,Male,132301,26,138.52,16,3.9,3,0
76,32,Male,105553,4,422.5,29,2.4,2,1
77,25,Male,50707,34,190.97,13,2.6,1,0
78,31,Male,59110,48,416.87,17,1.5,5,1
79,40,Male,149410,18,360.33,3,1.7,3,1
80,57,Male,81788,40,105.04,20,4.3,5,0
81,38,Male,102879,35,263.57,11,3.3,1,0
82,33,Female,58827,41,345.15,27,2.4,3,1
83,62,Female,127188,29,132.82,21,4.2,5,0
84,35,Male,25655,29,418.73,19,2.0,4,1
85,64,Female,64859,38,281.52,22,4.9,2,0
86,41,Female,73625,42,99.32,11,2.4,7,1
87,43,Male,72098,21,299.83,28,2.3,6,1
88,42,Male,35251,42,499.86,16,2.2,2,1
89,62,Male,142413,13,92.25,21,1.5,5,1
90,58,Female,20526,49,412.04,3,1.4,3,1
91,46,Female,88760,41,119.51,22,3.6,4,0
92,32,Male,67837,17,395.55,6,4.5,4,1
93,62,Male,145133,9,372.6,14,4.2,6,0
94,18,Male,149478,41,164.23,24,1.6,4,1
95,42,Female,31536,1,176.4,18,3.2,2,0
96,24,Female,48541,2,400.41,17,1.4,9,1
97,26,Female,99083,48,241.49,4,1.2,4,1
98,41,Female,71027,29,370.79,23,3.6,6,0
99,18,Male,54531,33,91.03,15,3.1,4,0
100,61,Male,28712,10,429.23,11,1.3,4,1
101,25,Male,124101,40,361.22,26,1.1,8,1
102,41,Male,85455,21,455.33,3,5.0,2,1
103,28,Female,94744,28,83.54,3,1.1,5,1
104,34,Female,141787,11,304.65,16,2.8,0,0
105,25,Male,149749,34,307.58,5,3.0,9,1
106,52,Male,25109,8,189.66,21,1.5,4,1
107,52,Female,141332,22,240.06,29,1.7,7,1
108,50,Male,69268,8,38.23,10,2.4,4,1
109,22,Female,120737,49,378.01,19,4.0,8,1
110,59,Male,74615,15,283.67,25,3.0,5,0
111,56,Male,102503,17,47.72,4,3.6,7,1
112,58,Male,143274,23,346.76,29,4.9,9,1
113,45,Male,49759,24,244.06,29,4.1,7,1
114,24,Male,105708,45,36.54,19,2.7,2,0
115,26,Male,80112,19,485.41,11,2.8,6,0
116,25,Male,122471,5,475.57,2,3.5,6,1
117,29,Female,146740,32,266.19,10,3.7,9,1
118,51,Female,143153,44,64.96,29,3.0,5,0
119,50,Female,46589,1,382.22,11,3.6,6,0
120,40,Female,50015,23,256.13,25,1.1,1,1
121,41,Female,49009,37,165.17,20,2.7,8,1
122,54,Male,103309,8,255.88,16,2.1,9,1
123,52,Male,146446,13,270.77,19,1.5,9,1
124,61,Female,82046,8,290.1,23,1.4,0,1
125,57,Male,126661,23,231.79,24,3.4,0,0
126,39,Female,46143,43,310.76,11,3.1,2,0
127,44,Female,26154,1,460.99,14,2.0,2,1
128,52,Male,41804,45,193.89,2,2.9,0,1
129,18,Male,61688,24,368.34,23,3.0,6,0
130,52,Male,84288,35,449.34,28,1.8,3,1
131,54,Female,71195,24,238.87,5,3.6,9,1
132,64,Male,40581,17,232.86,27,4.1,1,0
133,31,Female,72648,5,309.02,5,4.2,9,1
134,20,Female,50087,20,303.88,19,3.4,4,0
135,18,Female,69930,21,407.16,21,3.0,5,0
136,22,Male,52981,40,248.71,12,1.2,8,1
137,43,Male,89298,31,498.14,18,2.2,3,1
138,31,Female,66167,46,48.55,4,1.4,1,1
139,56,Male,95304,36,21.52,22,4.9,4,0
140,44,Male,63408,11,327.3,17,1.5,2,1
141,26,Male,59499,15,163.25,10,1.6,1,1
142,32,Female,145816,19,135.38,20,4.6,0,0
143,32,Female,72269,7,169.71,6,4.8,9,1
144,43,Male,58559,28,142.9,25,4.1,1,0
