Customer_ID,Age,Gender,Annual_Income,Total_Purchases,Average_Order_Value,Website_Visits,Customer_Satisfaction,Previous_Returns,Churn,Total_Spending,Income_Per_Purchase
1,56,Male,49241,2,243.97,21,1.8,9,1,487.94,24620.5
2,46,Female,116214,23,412.03,26,1.3,9,1,9476.689999999999,5052.782608695652
3,32,Female,64569,19,52.34,14,4.5,0,0,994.46,3398.3684210526317
4,60,Female,31745,31,205.95,13,2.7,1,0,6384.45,1024.032258064516
5,25,Male,46029,5,428.88,27,3.0,4,0,2144.4,9205.8
6,38,Male,33025,19,213.87,4,4.7,2,1,4063.53,1738.157894736842
7,56,Male,121660,34,57.26,7,4.1,1,1,1946.84,3578.235294117647
8,36,Male,143395,10,280.42,22,1.5,0,1,2804.2000000000003,14339.5
9,40,Male,34288,25,433.64,10,3.3,9,1,10841.0,1371.52
10,28,Male,109186,2,303.34,7,2.8,2,1,606.68,54593.0
11,28,Male,26540,11,128.61,21,4.2,0,0,1414.71,2412.7272727272725
12,41,Male,117768,31,204.44,15,3.9,0,0,6337.64,3798.967741935484
13,53,Female,101958,15,236.06,15,3.8,0,0,3540.9,6797.2
14,57,Female,88878,9,298.05,4,2.4,7,1,2682.4500000000003,9875.333333333334
15,41,Male,61846,23,384.49,23,4.2,2,0,8843.27,2688.9565217391305
16,20,Male,121148,19,67.46,23,1.2,0,1,1281.7399999999998,6376.210526315789
17,39,Female,95932,9,447.03,6,1.6,6,1,4023.2699999999995,10659.111111111111
18,19,Male,37482,35,25.91,24,2.3,9,1,906.85,1070.9142857142858
19,41,Male,43411,21,197.63,20,1.3,2,1,4150.23,2067.190476190476
20,61,Male,70975,9,33.16,26,1.9,7,1,298.43999999999994,7886.111111111111
21,47,Female,80545,28,208.63,5,4.3,3,1,5841.639999999999,2876.6071428571427
22,55,Female,132302,46,272.39,20,4.8,3,0,12529.939999999999,2876.1304347826085
23,19,Female,98797,7,265.61,12,2.2,4,1,1859.27,14113.857142857143
24,38,Female,72307,16,99.5,1,2.1,5,1,1592.0,4519.1875
25,50,Female,23093,16,329.96,28,2.1,6,1,5279.36,1443.3125
26,29,Male,97258,33,41.49,8,2.1,3,1,1369.17,2947.212121212121
27,39,Female,42042,4,385.72,1,1.1,7,1,1542.88,10510.5
28,61,Male,72930,4,474.39,5,4.7,5,1,1897.56,18232.5
29,42,Male,137584,39,183.09,22,1.9,0,1,7140.51,3527.7948717948716
30,44,Female,64413,40,268.27,6,2.7,0,1,10730.8,1610.325
31,59,Female,133387,17,201.88,29,1.0,8,1,3431.96,7846.294117647059
32,45,Male,113623,37,23.22,21,4.4,9,1,859.14,3070.891891891892
33,33,Male,117883,39,205.22,3,3.9,5,1,8003.58,3022.641025641026
34,32,Male,53756,29,400.03,15,4.8,9,1,11600.869999999999,1853.655172413793
35,64,Female,73268,36,306.07,5,4.1,7,1,11018.52,2035.2222222222222
36,61,Female,59214,38,68.6,28,2.3,6,1,2606.7999999999997,1558.2631578947369
37,20,Female,101871,39,426.63,24,2.0,5,1,16638.57,2612.076923076923
38,54,Female,147844,37,274.92,14,3.8,3,0,10172.04,3995.7837837837837
39,24,Female,48602,35,424.03,18,2.5,6,0,14841.05,1388.6285714285714
40,38,Male,73331,7,298.51,16,3.3,8,1,2089.5699999999997,10475.857142857143
41,26,Female,68901,27,288.65,6,1.0,9,1,7793.549999999999,2551.8888888888887
42,56,Male,119986,28,70.52,25,1.2,9,1,1974.56,4285.214285714285
43,35,Male,83416,22,100.33,24,3.1,6,0,2207.2599999999998,3791.6363636363635
44,21,Male,52196,14,486.57,14,3.3,0,0,6811.98,3728.285714285714
45,42,Female,148386,7,129.67,27,4.0,9,1,907.6899999999999,21198.0
